1,1,1/1/2019,8:25,9:40
2,2,1/1/2009,9:25,10:40
3,3,1/1/1997,10:25,11:40
4,4,1/1/2015,11:25,12:40
5,5,1/1/2018,12:25,13:40
6,6,1/1/2015,13:25,14:40
7,7,1/1/2019,14:25,15:40
8,8,1/1/2012,15:25,16:40
9,9,1/1/2015,16:25,17:40
10,10,1/1/2019,17:25,18:40
11,11,1/1/2015,18:25,19:40
12,12,1/1/2018,19:25,20:40
13,13,1/1/2011,20:25,21:40
14,14,1/1/2017,21:25,22:40
15,15,1/1/2018,22:25,23:40
16,16,1/1/2013,23:25,0:40
17,17,1/1/2017,0:25,1:40
18,18,1/1/2018,1:25,2:40
19,19,1/1/2017,2:25,3:40
20,20,1/1/2013,3:25,4:40
21,21,1/1/2015,4:25,5:40
22,22,1/1/2016,5:25,6:40
23,23,1/1/2018,6:25,7:40
24,24,1/1/2003,7:25,8:40
25,25,1/1/2019,8:25,9:40
26,26,1/1/2019,9:25,10:40
27,27,1/1/2011,10:25,11:40
28,28,1/1/2012,11:25,12:40
29,29,1/1/2014,12:25,13:40
30,30,1/1/2012,13:25,14:40
31,31,1/1/2019,14:25,15:40
32,32,1/1/2019,15:25,16:40
33,33,1/1/2019,16:25,17:40
34,34,1/1/2010,17:25,18:40
35,35,1/1/2006,18:25,19:40
36,36,1/1/2016,19:25,20:40
37,37,1/1/2019,20:25,21:40
38,38,1/1/2011,21:25,22:40
39,39,1/1/2017,22:25,23:40
40,40,1/1/1993,23:25,0:40
41,41,1/1/2016,0:25,1:40
42,42,1/1/1999,1:25,2:40
43,43,1/1/2010,2:25,3:40
44,44,1/1/2016,3:25,4:40
45,45,1/1/2012,4:25,5:40
46,46,1/1/2008,5:25,6:40
47,47,1/1/2001,6:25,7:40
48,48,1/1/2013,7:25,8:40
49,49,1/1/1994,8:25,9:40
50,50,1/1/2016,9:25,10:40
51,35,2/1/2019,8:25,11:40
52,3,2/2/2019,9:25,12:40
53,12,2/3/2019,10:25,13:40
54,44,2/4/2019,11:25,14:40
55,37,2/5/2019,12:25,15:40
56,25,2/6/2019,13:25,16:40
57,23,2/7/2019,14:25,17:40
58,1,2/8/2019,15:25,18:40
59,25,2/9/2019,16:25,19:40
60,7,2/10/2019,17:25,20:40
61,33,2/11/2019,18:25,21:40
62,11,2/12/2019,19:25,22:40
63,43,2/13/2019,20:25,23:40
64,33,2/14/2019,21:25,0:40
65,16,2/15/2019,22:25,1:40
66,43,2/16/2019,23:25,2:40
67,20,2/17/2019,0:25,3:40
68,15,2/18/2019,1:25,4:40
69,17,2/19/2019,2:25,5:40
70,25,2/20/2019,3:25,6:40
71,43,2/21/2019,4:25,7:40
72,31,2/22/2019,5:25,8:40
73,5,2/23/2019,6:25,9:40
74,6,2/24/2019,7:25,10:40
75,20,2/25/2019,8:25,11:40
76,32,2/26/2019,9:25,12:40
77,25,2/27/2019,10:25,13:40
78,18,2/28/2019,11:25,14:40
79,7,3/1/2019,12:25,15:40
80,21,3/2/2019,13:25,16:40
81,37,3/3/2019,14:25,17:40
82,8,3/4/2019,15:25,18:40
83,45,3/5/2019,16:25,19:40
84,2,3/6/2019,17:25,20:40
85,3,3/7/2019,18:25,21:40
86,26,3/8/2019,19:25,22:40
87,42,3/9/2019,20:25,23:40
88,2,3/10/2019,21:25,0:40
89,1,3/11/2019,22:25,1:40
90,41,3/12/2019,23:25,2:40
91,34,3/13/2019,0:25,3:40
92,10,3/14/2019,1:25,4:40
93,21,3/15/2019,2:25,5:40
94,39,3/16/2019,3:25,6:40
95,26,3/17/2019,4:25,7:40
96,22,3/18/2019,5:25,8:40
97,37,3/19/2019,6:25,9:40
98,19,3/20/2019,7:25,10:40
99,32,3/21/2019,8:25,11:40
100,14,3/22/2019,9:25,12:40
101,45,2/1/2019,8:25,13:40
102,26,2/2/2019,9:25,14:40
103,7,2/3/2019,10:25,15:40
104,22,2/4/2019,11:25,16:40
105,2,2/5/2019,12:25,17:40
106,9,2/6/2019,13:25,18:40
107,13,2/7/2019,14:25,19:40
108,19,2/8/2019,15:25,20:40
109,13,2/9/2019,16:25,21:40
110,15,2/10/2019,17:25,22:40
111,15,2/11/2019,18:25,23:40
112,34,2/12/2019,19:25,0:40
113,40,2/13/2019,20:25,1:40
114,36,2/14/2019,21:25,2:40
115,24,2/15/2019,22:25,3:40
116,20,2/16/2019,23:25,4:40
117,6,2/17/2019,0:25,5:40
118,45,2/18/2019,1:25,6:40
119,7,2/19/2019,2:25,7:40
120,8,2/20/2019,3:25,8:40
121,40,2/21/2019,4:25,9:40
122,23,2/22/2019,5:25,10:40
123,36,2/23/2019,6:25,11:40
124,1,2/24/2019,7:25,12:40
125,30,2/25/2019,8:25,13:40
126,6,2/26/2019,9:25,14:40
127,2,2/27/2019,10:25,15:40
128,6,2/28/2019,11:25,16:40
129,5,3/1/2019,12:25,17:40
130,4,3/2/2019,13:25,18:40
131,4,3/3/2019,14:25,19:40
132,41,3/4/2019,15:25,20:40
133,9,3/5/2019,16:25,21:40
134,6,3/6/2019,17:25,22:40
135,40,3/7/2019,18:25,23:40
136,10,3/8/2019,19:25,0:40
137,26,3/9/2019,20:25,1:40
138,39,3/10/2019,21:25,2:40
139,3,3/11/2019,22:25,3:40
140,19,3/12/2019,23:25,4:40
141,11,3/13/2019,0:25,5:40
142,35,3/14/2019,1:25,6:40
143,6,3/15/2019,2:25,7:40
144,27,3/16/2019,3:25,8:40
145,40,3/17/2019,4:25,9:40
146,11,3/18/2019,5:25,10:40
147,7,3/19/2019,6:25,11:40
148,6,3/20/2019,7:25,12:40
149,31,3/21/2019,8:25,13:40
150,31,3/22/2019,9:25,14:40
151,23,2/1/2019,8:25,15:40
152,23,2/2/2019,9:25,16:40
153,19,2/3/2019,10:25,17:40
154,37,2/4/2019,11:25,18:40
155,10,2/5/2019,12:25,19:40
156,15,2/6/2019,13:25,20:40
157,34,2/7/2019,14:25,21:40
158,15,2/8/2019,15:25,22:40
159,7,2/9/2019,16:25,23:40
160,9,2/10/2019,17:25,0:40
161,33,2/11/2019,18:25,1:40
162,30,2/12/2019,19:25,2:40
163,38,2/13/2019,20:25,3:40
164,42,2/14/2019,21:25,4:40
165,36,2/15/2019,22:25,5:40
166,4,2/16/2019,23:25,6:40
167,38,2/17/2019,0:25,7:40
168,9,2/18/2019,1:25,8:40
169,24,2/19/2019,2:25,9:40
170,40,2/20/2019,3:25,10:40
171,41,2/21/2019,4:25,11:40
172,8,2/22/2019,5:25,12:40
173,20,2/23/2019,6:25,13:40
174,23,2/24/2019,7:25,14:40
175,3,2/25/2019,8:25,15:40
176,16,2/26/2019,9:25,16:40
177,36,2/27/2019,10:25,17:40
178,38,2/28/2019,11:25,18:40
179,7,3/1/2019,12:25,19:40
180,28,3/2/2019,13:25,20:40
181,11,3/3/2019,14:25,21:40
182,39,3/4/2019,15:25,22:40
183,2,3/5/2019,16:25,23:40
184,5,3/6/2019,17:25,0:40
185,23,3/7/2019,18:25,1:40
186,26,3/8/2019,19:25,2:40
187,31,3/9/2019,20:25,3:40
188,22,3/10/2019,21:25,4:40
189,11,3/11/2019,22:25,5:40
190,41,3/12/2019,23:25,6:40
191,9,3/13/2019,0:25,7:40
192,11,3/14/2019,1:25,8:40
193,7,3/15/2019,2:25,9:40
194,10,3/16/2019,3:25,10:40
195,30,3/17/2019,4:25,11:40
196,40,3/18/2019,5:25,12:40
197,1,3/19/2019,6:25,13:40
198,4,3/20/2019,7:25,14:40
199,14,3/21/2019,8:25,15:40
200,45,3/22/2019,9:25,16:40
